ID,HEADER,TITLE,MAIN_CONTENT,DATE,TAGS
jgx9jjqhruy6qz,Pinned,      URGENT: Robot Return,"Dear Participants,
 
Kindly return the robotic kits as already stated on the previous post and communicated via email (check your e-Yantra portal for more details).
We understand that many teams are going through their exams, but sending/submitting kits will not take much of your time. Moreover, note that certificates will be withheld until we receive the kits.
 
We advise all the teams who have not yet returned the kit to us or submitted the kits to their college (whichever option is mentioned on the portal).
Kindly communicate when you will ship/submit the robotic kit via email at helpdesk@e-yantra.org mentioning the Team ID, Theme and Date by which the team will return/submit the kit.
 
PS: Kits include everything that you have been provided for the theme.
#pin",5/8/18,"harvester_bot,planter_bot,transporter_bot"
jg657ewm4rz5bp,Pinned,      Final Task: Robot Return,"Dear Participant,Greetings from e-Yantra!!Thank you for participating in the e-Yantra Robotics Competition (eYRC-2017) and we hope you had a wonderful experience.As the last task in the competition, teams have to return the Robotic kit to e-Yantra or to their respective institution.
 
Team leader should log in only to his/her portal and follow the given instructions carefully. 
 
Please note that 27th April, 2018 is the last date for all the required modalities.
Important:1. You can ignore this mail if your team has already submitted the robot to e-Yantra, IIT-Bombay.2. For team entitled for certificates, these will be shipped to you only after we receive the robotic kits/Robot Return acknowledgement.For any queries please mail us at helpdesk@e-yantra.org.Best wishes,e-Yantra Team
#pin",4/19/18,"harvester_bot,planter_bot,transporter_bot"
jeyk2vpg9od4ll,Pinned,      Urgent: Regarding Finals,"Dear finalists, 
 
Kindly note the following instructions for the finals of Harvester Bot:
 
1. Formula as mentioned in the Rule-book will remain same.
2. Direction of attaching the Fruits will begin from the Trees side facing e-Yantra in clockwise fashion as already mentioned in the rulebook.
3. In the finals teams will be getting Trees of 4.25 inches of diameter due to unavailability of the 4 inch ones. Teams are advised to make slight changes regarding the same. Moreover the practice arena for the same will open a day before the competition hence teams can also calibrate here at IIT Bombay. 
#pin",3/19/18,harvester_bot
jems5vv4l4q4z7,Pinned,      Finalist details,"Dear finalists,
 
Please fill the bank and travel details carefully latest by today midnight so that we can arrange the same without any hindrance.
Each member have to fill their account details on portal and only team leader have to fill the team travel details on portal.
Please fill these details by today Midnight.
 
Stay tuned!
#pin",3/11/18,"harvester_bot,planter_bot,transporter_bot"
jekafpcz91x2w5,Pinned,      Final Results,"Dear Participants,
 
