ID,HEADER,TITLE,MAIN_CONTENT,DATE,TAGS
j14kcqi1dyx2vy,Pinned,      Regarding Reimbursement and Certificates," Dear participants,

 
We request all the participants who are eligible for cash prize and certificates to wait till end of April for their reimbursement.For the certificates, wait till end of May.Please DO NOT send us unnecessary request for reimbursement .If you do not receive your reimbursement by end of this month, you can send us the request on help-desk.
#pin
 ",4/5/17,"balance_bot,general_announcement,explorer_bot,general_queries"
j0dkkt45i5pms,Pinned,      Number of finalists," 
​Greetings from e-Yantra!!We have selected 33 teams from the 7 Themes as Finalists.
LM: 5
MT: 5
NT: 4
CC: 4
BB: 6
EB: 4
BV: 5Note that the selection is based on the performance of the teams in the Tasks and the Video submission. If a team had a high score in the Tasks but submitted a hard-coded solution in the video, that team may not be selected even though they have a high score. e-Yantra strives to inculcate sincerity and fair practice in its competitions.
#pin",3/17/17,"general_announcement,balance_bot,explorer_bot"
j0di24fc5ym7g,Pinned,      Change in rules for Balance Bot finals.,"Dear Participants,
 
For the eYRC Finals which will be held in IIT Bombay on March, 24th and 25th following rules has been modified:
1. For a run, a time of 300 seconds(5 minutes) will be allotted. During this time, the participants have the liberty to choose any manoeuvers.  
2. Instead of see-saw bridge above Eastern Valley, incline plane bridge as shown in Figure below:

 
All the other rules will be as mentioned in the rulebook.
Also we are planning additional event after final competition. 
 
All the Best for the finals!!!!!!
e-Yantra Team.
 
 
#pin",3/17/17,"balance_bot,general_announcement"
j0509ydgif8ho,Pinned,      Instructions for Finals,"Dear Participants,
 
This post is to resolve some generic queries regarding finals:
 
Reporting time is 08:00 AM on both daysIt is mandatory for teams to report for finals at the venue, even if there theme is not schedule. Team can either be in practice or in finalsTeams outside Mumbai, should ideally try to come a day before i.e. on 23rd. This give them time to settle a bit and get ready for next dayPractice arena will be provided 23rd march onwardsDetail schedule will be provided on portal on TuesdayMake sure you read the instruction on portal carefullyMake sure each team member fill their account details correctly.
 
PS: Teams who have filled the account details yesterday are requested to fill it again.
#pin",3/11/17,general_announcement
j03v1z2zy3yt4,Pinned,      Result announced,"Dear Participants,
 
Greetings from e-Yantra!!!
 
 
Final result for eYRC-2016/17 has been announced. Please check Result tab in portal for result. 
 
e-Yantra Team.
 
#pin",3/10/17,"balance_bot,explorer_bot,general_announcement"
izw5ii4nh5616m,Pinned,      IMPORTANT - Deadline related instruction,"Hi,
 
It is extremely important to keep track of deadline. Today is last day to upload Original/Bonus configuration video. Portal will close today midnight. The system for upload/download is automated so please take a note of following:
 
We can not give access to configuration file via emailWe can not consider submission made via emailWe can not provide extension in dates for uploading the final taskTask-5 submission also includes code submission with proper commenting - deadline for code submission is also today midnight.If you face any issue while upload/download - take a screenshot. We will consider  genuine request, if you produce screenshot.
 
It is very unfortunate that few teams did not downloaded the configuration file on time. We feel bad for them, but can not help either. We have to keep rules uniform for all teams.
#pin",3/5/17,"balance_bot,explorer_bot,general_announcement"
izu4jb1i4wy463,Pinned,      The map dimensions in original configuration are wrong?,"When grid size is set to 0.3048 meters the boundary should cover 7 grids but it covers more than that, 
also the blocks are not in center when above grid size is used, changing grid size to a certain value however corrects everything but the problem is that since 1 feet is equal to 0.3048 meters rviz map no longer represents arena accurately.
 
EDIT: corrected wrong conversion ratio.
#pin",3/3/17,explorer_bot
izrcc86lhce4in,Pinned,      Task 5 launched,"Dear Participants,
  
Task-5 has been launched. Please check the Task-5 tab in portal for further instructions.
Please read the instructions in portal carefully before uploading your final video and code.
 
 
Best of Luck!!!
e-Yantra Team.
#pin",3/2/17,"balance_bot,explorer_bot,general_announcement"
iz9gevukzcl6z8,Pinned,"      Regarding the ""Progress video"" and ""eyantra speaks""","Dear Participants,
 
Greetings from e-Yantra!!!
 
We have updated the portal with two new tabs called Progress Video and e-Yantra speaks. Make sure to check them out.
Last date to submit the Progress Video is 20th-February-2017.
 
Thanks & Regards
#pin",2/17/17,"explorer_bot,balance_bot"
iywruwgo9sh272,Pinned,      Help session- Explorer Bot," 
Dear Participant,Greetings from e-Yantra!
Theme implementation task of explorer Bot is going on. Till far you had completed the robot construction and able to move your robot manually. Now you are ready for the theme implementation. Programming and use of different package in explorer Bot theme is a tough challenge, which most of the teams have tried; but many have had difficulties in completing the tasks.  There are some teams that have not been active. 
In order to encourage ALL the teams to explore this unique learning opportunity, we have made the following change to our criterion for awarding Participation Certificates::

Change in Criterion for Participation Certificate
 Teams that submit  Task 3-3: Controller and Ros Interfacing  -- Video of Explorer Bot moving in RViz along with physical robot using the keyboard-- on or before 28th February 2017  are eligible for the Participation Certificates. Note: If a team fails to complete Task 3-3 by this date,  the team has to return the Robotic kit (along with all the components) to e-Yantra. 
 
In addition to relaxing the criterion for the Participation Certificate, e-Yantra team is conducting Help Sessions from 2:00 PM - 5:00 PM on  16th, 17th, and 18th February 2017. All your questions will be answered and any guidance required for implementing your solution will be provided during these sessions.

