ID,HEADER,TITLE,MAIN_CONTENT,DATE,TAGS
jgx9kwfkc2d314,Pinned,      URGENT: Robot Return,"Dear Participants,
 
Kindly return the robotic kits as already stated on the previous post and communicated via email (check your e-Yantra portal for more details).
We understand that many teams are going through their exams, but sending/submitting kits will not take much of your time. Moreover, note that certificates will be withheld until we receive the kits.
 
We advise all the teams who have not yet returned the kit to us or submitted the kits to their college (whichever option is mentioned on the portal).
Kindly communicate when you will ship/submit the robotic kit via email at helpdesk@e-yantra.org mentioning the Team ID, Theme and Date by which the team will return/submit the kit.
 
PS: Kits include everything that you have been provided by us for the theme.
#pin",5/8/18,feederweeder
jep2cjyk9z024n,Pinned,      Finalist Details,"Dear finalists,
 
Please fill the bank and travel details carefully latest by today midnight so that we can arrange the same without any hindrance.
#pin",3/13/18,feederweeder
jekax9ubymk70a,Pinned,      Final Results,"Dear Participants,
 
eYRC-2017 final task (Task 4: video and code) results have been announced. 
Please check the portal to know the same. Please note that this decision is final and no requests about the same will be taken into consideration.
 
All the best!!
#pin",3/10/18,feederweeder
je31zf776u27gc,Pinned,      Kindly Note,"Greetings from e-Yantra!
 
 
Dear Participants,
 
The competition closes on 26th February, 11:59 PM.
 
Hence, teams who had downloaded their Original configuration well before 24th Feb, 11:59 PM can still submit their task before the competition closes with penalty as per the policy on portal.
 
Teams who downloaded the configuration just before 24th Feb, 11:59 PM have only 48 hours to submit their task. No submission for Original configuration or for Code submission will be considered (even via an email) after 26th February, 11:59 PM.
 
Hence, we request teams to kindly pace up their work and avoid last moment rush.
 
Teams should submit their Original task with Code well before the deadline, maybe by 9 or 10 PM tomorrow. Many teams try to submit their task at the last moment due to which the server gets loaded and then they aren't able to submit their task on time. So, please avoid such situations for your benefit.
 
 
You can download the Bonus configuration even with penalty or zero score on Original configuration till 26th Feb, midnight.

 

But, the last date to submit the video for Bonus task is 26th Feb, midnight. Though there is no penalty for Code and Bonus video submission, the submission won't be considered after 26th Feb midnight.
 
 
Thank you.

 
All the best !!
#pin",2/25/18,feederweeder
jdzk2ew36qn20k,Pinned,      Task 4 Launched!,"Dear Participants!
 
Task 4 has been launched. You can download the original configuration from the task 4 tab on portal when you are ready.
 
Best of luck !!
#pin",2/23/18,feederweeder
jdycofvi7hk5dm,Pinned,      Before Task 4 Release,"Dear Participants,
Here are a couple of guidelines before Task 4 release.

1)  As informed earlier, Task 4 - Original Configuration will be available for download from Midnight, 22nd February, 2018 to Midnight 24th February, 2018. Once you download the Original Configuration, a countdown timer of 48 hours will start. You will have 48 hours from time of first download to submit your solution for this Original Configuration without any penalty. 

2) Code Submission -  Code submission instructions will be given with Original Configuration download. You need to clean up your working code according to the ""Coding Standard"" given on portal. Code submission final deadline is Midnight, 26th February.

3) Bonus Configuration - Bonus Configuration will be available for download to teams who have submitted the video demonstration (even with penalty) for the Original Configuration. Bonus Configuration will be evaluated ONLY if you have a working solution for the Original Configuration. 

