QUERY_ID	TITLE	MAIN_CONTENT	TAGS
jeyk2vpg9od4ll	urgent final	finalist kindly note follow instruction final harvester bot formula mention rule book remain direction attach fruit begin tree face yantra clockwise fashion mention rulebook final team get tree inchesof diameter unavailability inch one team advise slight change practice arena open day competition team calibrate iit bombay pin	harvester_bot
je1qcj62ybh60s	urgent task -bonus configuration	participant bonus configuration follow image give configuration pdf file bonus task ignore rulebook rule fruit place clockwise fashion start tree face yantra logo time rule stand hope clear let know issue pin	harvester_bot
jbbrw9ult7r4b4	hardware testing	greeting yantra participant thehardware testingfolder available portal relate document hardware testing folder download shipment page accept acknowledge receive shipment yantra kindly thevideo tutorialprovide record similar video hardware testing end ensure read document properly hardware connection properly switch power supply read instruction give video record yantra responsible fault hardware provide find deadline th december hardware component faulty inform soon possible avoid delay shipment perform hardware testing upload video link portal soon possible extension deadline hardware testing case disclaimer planter bot doubt query relate welcome thank happy learn pin	planter_bot
jlfbcgtqtds2ln	urgent	 partcipate eyrc get certificate want know know merit participation certificate get round get eliminate	transporter_bot
jemgr4j7xxj4lp	accommodation	possible team accommodation campus till march mumbai mumbai frequently want visit place additional charge need pay pay possible campus arrange outside campus inform early possible book ticket return journey thank	harvester_bot
jedrh3xqt2l1jm	score task	score totally base video consider code low quality video lead blink color properly capture mention working think correctly code	planter_bot
je7fpjcgvxy4hj	task submission certificate	 get mail mention nee submit video code tomorrow get certificate get mail night tomorrow holi west bengal collage close tomorrow flex robot collage case video lot hard work project want certificate kindly tell	harvester_bot
je52kyxdtml55r	obscure rule submission	portal say original deadline time original configuration download hour day original deadline incur penalty day according point download task th original deadline fall th february day th th fair yantra let submit task rule mention wrongly portal	harvester_bot
je3y6aw9jun4xq	zone indicator invert plain	 require mandatory stop robot zone indicator invert plain yes specific minimum duration halt	planter_bot
je3tv0w06es6hr	query concern robot position shed	 theme planter bot read pdf provide original configuration task clearly state nursery robot place cell specify robot stop position shed state cell coordinate shed similarly castor wheel motor wheel position shed	planter_bot
je32rf6p13511i	unable demo video	watch demo video portal 	transporter_bot
je32hq5k59c4vc	task document folder	document present document folder py code	planter_bot
je2z7q3pgno4p6	robot movement	robot stop middle run code random point resolve	harvester_bot
je2r7qmcela2q6	print title_slide	 today sunday shop locality close able print title_slide title slide laptop video	harvester_bot
je2ldyb55al64r	important query	valid shoot introduction demonstration separately merge allow reply asap like mention merge kind edit demonstration regard teamid pb	planter_bot
je2ef9hlkaa2qn	introduction video	currently have holiday college member video merge introduction member separately single member leader hold title_slide docx starting	planter_bot
je2copbaqzi4yc	final video	shot introduction shoot demonstration video separately merge shoot video introduction demonstration	planter_bot
je1zw2jp7ix7cm	urgent	believe technical glitch portal task window leave day leave option upload video document code wipe show competition close upload original configuration asap regard pb	planter_bot
je1x93i1b9v5a1	task demo video code submission	"original configuration competition close ready demo video code submit show competition closed""plz resolve issue fasteyrc track je ilju png"	planter_bot
je1shfmxy0z148	final video	 shot video display arena laptop screen time overlay plantation perfectly visible need overlay properly nt arena fully plantation image arena separately	planter_bot
je1sgx4wp5eqy	arena print opposite flex cut glossiness flex	glossiness flex face lot especially colour detection colour marker arena print opposite flex final submission task cut glossine flex urgent reply asap	planter_bot
je1p1oeahlxnq	final video submission	member home holi holiday member introduce task prepare individual introduction second combine	planter_bot
je1otxt4uyt2lo	final video	mandatory member present final video member town okay present video 	planter_bot
je1mwiw0ruu57	picamera working	picamera suddenly stop work state picamera enable import picamera fail connect resource working morning able follow line efficiently suddenly evening stop work try enable disable camera sudo raspi config reboot time go vain submit document code video respectively state disfunctione picamera pb	planter_bot
je1lby141ri521	change speed robot bonus configuration	change speed robot bonus configuration	planter_bot
je1hgbnlp29714	picamera error	img jpgi try capture image line follow capturing image get error morning get error 	planter_bot
je1gj3d6mk57f8	sd card get damage	run bot suddenly sd card stop work try connect sd card computer show mb space lose hour try best come buy new sd card glad provide kind thank 	planter_bot
je17vxin62w3l9	white line sensor work	hello mamsuddenly white line sensor stop transmit light give reading display great kindly suggest	harvester_bot
je14wy1u7vruq	detection vertex number color marker	detect vertex nos color marker formula approx cv approxpolydp cv arclength true true plea pb	planter_bot
je0zvikopwr3b6	code submission	submit code portal give hour download submit video code give th submit code reply hour leave	planter_bot
je0tjfmde9d4d1	float division error	try find center color marker moment continuously get float division zero error get soon possible thank advance	planter_bot
je0g97e1dn55l5	reposition rule	reposition allow submit task video specify penalty	planter_bot
je09rqkp6or5km	evaluation final video	score criterion give rulebook evaluate final video scoring criterion traverse arena detection counting cm able detect shape able overlaywill score negative penalty	planter_bot
je060jgbqg25nn	zi doubt	 zi include null zi ipp blend pz leave right rule	planter_bot
jdnzoe0zkar270	plantation zone	respected madam pz- plantation image small pose little overlay image landscape orientation aspect ratio image large able downsize lose visibility have compromise skewing aspect ratio provide proper visibility helpful insight solve attach image understanding pz- possible mistaken	planter_bot
jdnyg598yyzdw	increase fps rpi	overclock board ghz require extra cooling system try break frame thread work	planter_bot
jdnhjjlgc496pb	battery power robot	transporter botteam want know useanother battery provide power firebirdv actuator servo grip	transporter_bot
jdk58hv5pju5o4	change pick mechanism	change pick mechanism propose task document hope nt id-	transporter_bot
jdk1k0up9t51z0	memory card	use gb class memory card instead class	planter_bot
jdj42m6dpf66bf	progress video submission	able submit progress video exam minor project presentation currently struggle withpath traversal complete colour marker detection image overlay sorry delay vivek soodteam leaderteam	planter_bot
jdiw0a6a5757dj	feedback progress video	respected madam feedback progress video 	planter_bot
jdiurjcnvpx7ey	progression video	id- respect sir/ madam unable upload progression video th feb college internal exam work good pace far complete task disqualification able upload progression video sure complete task soon	planter_bot
jdiqaprzlwg4rh	traversal	analyze plantation zone bot static position lead blink traverse	planter_bot
jdh9vf7ohegj	encoder doubt	pb number pulse revolutionnote encoder different different observation number pulse receive initially slow increase later gradually rectify error	planter_bot
jdfzxcjhntq5q4	issue control bot	have trouble control bot contour detection follow line frame quick processing robot turn track turn try reduce resolution frame rate 	planter_bot
jdf4e26shrj4dy	overlay doubt	sir/ madam detect green plantation image overlay flower respective plantation zone reply asap time	planter_bot
jdd9urqenzg2yd	access individual objecs blender	 write code individual object name move respective co ordinate object point lastly assign irrespective object access individual object name	transporter_bot
jdcz4en46y4nv	feedback progress video	hello receive task result feedback progress video	harvester_bot
jdcwffjigjuq5	code setting crate blender	input user like run script python console text file user input require sequence	transporter_bot
jdckuc52p1z3h2	doubt	plantation image know flower blend mean hard code coordinate	planter_bot
jdbw1zt1ih94jp	overheat	face problem bridge recently start overheat soon connect battery change bridge soon	transporter_bot
jdbsrpd38f66xb	image addition code pi	want know file pi code use example keeping image shape custom create mask image overlay	planter_bot
jdbnn4infzqu	 pi work	 pi work properly light blink use rapsberry pi	planter_bot
jdbj6vq7ut4ko	blender	try robot loc send xbee blender blender stop respond	transporter_bot
jdbagh5oa6i672	doubt	know coordinate pz plantation zone hard code coordinate way	planter_bot
jdba13pzxwo7nk	read image	read image save inside rpi read plantation jpg	planter_bot
jdb2ox02t4j41o	interrupt	share link study interrupt routine rpi searched website fund useful	planter_bot
jdakdighfo633z	raspberry pi	mam work motor code suddenly stop work realise gpio pin work pi get hot try use motor code pin voltage instead pi pls instruct wrong solve want fry remain gpio pin pls	planter_bot
jda2pbthrq96t3	permission update gpio	 pigpio library instal rpiit give error permission update gpio	planter_bot
jda1r9awp3ftn	error run picam module	get error replace picam error say datum receive sensor check connection img wa jpg	planter_bot
jd9pkaxt9ki45y	progress video	exam go able upload video nt complete task submit progress video know late date upload progress video coz exam go nt complete task progress video day work hard submit final task th feb submit progress video affect future	planter_bot
jd99bocrble2fg	delay progress video submission	group need day final submission	planter_bot
jd91idjtccy4hp	suggestion	record uploading progress video share link helpful thank	planter_bot
jd91e2ayn6oo	task	madam robot move path smoothly use webcamera use picam video feed get stuck point bot keep frame cause bot malfunction code remain case processing picamera resolution frame rate olease suggest overcome note kind feedback technique	planter_bot
jd8dyl1ypbrer	error	camera work fine suddenly show error tell error mean	planter_bot
jd64ii4q4mc5ui	encoder motor	encoder motor start malfunction able work	planter_bot
jd5w1lzfmbd3hv	submission video th feb	 respected madam able upload progression video th feb internal examination go college upload video later upload video	planter_bot
jd5m41x2c2l5xh	doubt traversal plucking	consider bot node tree fruit pluck plucking bot right left node tree position follow line time circularly tree follow line follow black line tree	harvester_bot
jd4uzutrmtg4ho	able change motor speed changedutycycle	try altering argument changedutycycle motor speed change keep circuitry connection provide hardware software test move speed facing	planter_bot
jd4mxvtca9042l	change speed motor	safe change value duty cycle obtain different speed arena use additional function pls provide link	planter_bot
jd4lwypxpz32xq	general rule	member present month recover proceed contest member	transporter_bot
jd4lmv90grs6lk	lipo battery power drain rapidly	 time duration char lipo battery charge minute thenaft discharge rapidly minute replace battery mah	planter_bot
jd4ige65q5i34d	picam video smooth	try hard unable smooth video picam video like hang try lot set perfect combination resolution fps nt satisfactory result	planter_bot
jd4bzq9ugpx3a0	end run video	task say till blink video end bot traverse arena	planter_bot
jd460asocko25d	picamera query	low resolution option apart one mention picture take screenshot picam documentation want good choice resolution frame rate process unable correct option	planter_bot
jd42ayc33cy4ev	fan cool	use fan pi fan motor cardboard	planter_bot
jd3kvtgjqy652m	ssh	upload program ssh suddenly rpi stop respond ssh able login pi window start session ssh	planter_bot
jd3fw1hcuge7d1	communication pi firebird	hello provide resource communication firebird pi communication nee	harvester_bot
jd1tt13awyj5k3	expansion slot pin name firebird	explain number expansion slot consider leave number right wrong vice versa	harvester_bot
jd1nek6wuvn3mk	rulebook	get confuse fruit table indicate fruit tree give provide tree table deposition zone table require fruit table 	harvester_bot
jd1jkdr19m16eq	fps video	fps increase raspbeerypi hot somebody tell increase fps	planter_bot
jd0lqx869sv1lc	zone indicator	able follow track completely zone indicator detection check color position cx cy- cx- cy- cx cy- cx- cy- cx- cy- cx cy- cy- black cy- black cy- white program stop motor frame go speed able process pls instruct	planter_bot
jd0lhtrzi8158s	speed	bot follow track completely accuracy speed slow give right changedutycycle similar way increase able process frame correctly pls instruct	planter_bot
jd0g1yl0gio5x2	avrdude	compulsory use avrdude programming firebird	harvester_bot
jczo2qj4gih38p	youtube file	 upload video youtube accord standard give deadline file finish uploading reason get save untitled try uploading get save untitled able edit video paste link video yrc page guide proceed 	transporter_bot
jcz5ondz3nc3mf	upload youtube get error angular bracket allow	 uploaded video yrc hb task progress_video replace angular bracket open bracket let know correction video upload thank	harvester_bot
jcyuehsynew5s	xbee communication	able configure xbee firebird xbee connect adapter work good able transmit data firebird end able way round tb	transporter_bot
jcyr3qx327i4oi	error	screenshot png overcome	harvester_bot
jcylfvjwdd54gu	progress video	possible extend deadline progress video able complete progress video blender	transporter_bot
jcya8b15ip42qb	task	mam submit task propose algorithm change algorith efficient working bot okay mark affect	planter_bot
jcy7zaswida5tk	bge respond	run script serial serial com baudrate command blender stop respond try high version low version occur	transporter_bot
jcxts3v2x9e745	query background plantation image	overlay image pi cam click image background overlay image color marker plantation image zone overlay shape crop total number color marker plantation png	planter_bot
jcxoao83yeh43b	query xbee transmission	transmit datum firebird zigbee module connect pc function uart_transmit call datum transmit multiple time statement main program ignore	transporter_bot
jcxk42zgat428n	progress video	wanna know compulsory upload progress video prepare mention schedule disqualify competition member ill past week depress clarify thing upload day later penalty upload hardware mean blender vise versa task denial disqualify competition want competition planned schedule acco final submission eyrc main schedule complete hold mechanism currently work code guide apologize mistake tb	transporter_bot
jcxav47forl30g	blender python	hello madam try change position particular cube object console window show error obj define mesh object attribute location overcome tb	transporter_bot
jcx75209sig4ey	doubt blender python	python script develop run blender render mode switch blender game engine run play mode press escape key script run get output run script blender game	transporter_bot
jcx4ll761q15zz	reflection shadow image	explain handle reflection shadow flex traverse robot	planter_bot
jcw4e4iu9682bh	block arena	fix block arena vary time evaluation	transporter_bot
jcvyxvaclx125k	blender game engine	render object texture game mode enter play mode texture render	transporter_bot
jcvf9khhki842t	picam	good choice picam resolution frame rate capture clear frame process try option frame capture good process	planter_bot
jcuupzhtjty4cc	bot movement	try compare frame centroid centroid contour max area resized frame color_image frame array centroid contour max area leftt cx cx forward cx rightt leave changedutycycle right changedutycycle use kiya process frame properly instruct	planter_bot
jcul5ep07xs4e3	motor replacement	https //robokits co motor encoder dc servo high precision quad encoder gear dc motor- v- rpm buy motor link provide instructor duty cycle turn slow motor provide kit check rpm stopwatch find new motor buy turn rpm motor provide kit turn rpm search motor nex robotic find http //www nex robotic com product motor accessories/ rpm shaft dc gear motor position encoder html believe exact motor provide kit request instructor confirm soon possible	planter_bot
jcs9q58to9r4sa	raspberry pi work	respect raspberry pi stop work day use light get connection adapter immediately	harvester_bot
jcry05jykrw13r	line traversal	line traversal picam need find contour process image find path traversal find pixel value black present follow path better	planter_bot
jcru7h3n2dd3ru	picam doubt	get follow error try display live video operate like threshold blur etc error get display soon window play video open single frame display logic correct run perfectly laptop camera jpg	planter_bot
jcrg0en5v2y38	stuck vnc viewer screen	get attempt reconnect vnc server message try reboot raspberry pi apply change asap try mobaxterm	planter_bot
jcr6l7s77zc55e	doubt python	import pillow program	planter_bot
jcqh37qjhsptf	result declaration	result task declare	planter_bot
jcqbf3x5rqv607	rgb lead	lead give common cathode lead common anode lead provide link connect led rpi	planter_bot
jcq82mygx4661v	progress video	use ir sensor provide kit objection use sensor apart provide kit yantra	planter_bot
jcop2x2n7zj4h	error opencv	cv imshow work asking rebuild opencv undergoing	planter_bot
jco5lg6mwaw34g	rgb lead	lead give common cathode common anode lead provide link connect led rpi	planter_bot
jcnk5lrbrcd72g	motor driver	use	planter_bot
jcnbuasg87c4wp	encoder doubt	want know perform interrupt routine rpi function inbuilt command search net find good resource	planter_bot
