QUERY_ID	TITLE	MAIN_CONTENT	TAGS
jeyk2vpg9od4ll	Urgent: Regarding Finals	Dear finalists,  Kindly note the following instructions for the finals of Harvester Bot:  1. Formula as mentioned in the Rule-book will remain same. 2. Direction of attaching the Fruits will begin from the Trees side facing e-Yantra in clockwise fashion as already mentioned in the rulebook. 3. In the finals teams will be getting Trees of4.25 inchesof diameter due to unavailability of the 4 inch ones. Teams are advised to make slight changes regarding the same. Moreover the practice arena for the same will open a day before the competition hence teams can also calibrate here at IIT Bombay. #pin	harvester_bot
je1qcj62ybh60s	URGENT: Task 4-Bonus Configuration	Dear Participants,  In bonus configuration, you should follow only the image given in the configuration PDF file itself i.e.for bonus task you should ignore the rulebook rule that Fruits are to be placed in clockwise fashion starting from the Tree side facing e-Yantra logo (just this time, rule stands as it is.) I hope this is clear. Please let me know if there's any issue. #pin	harvester_bot
jbbrw9ult7r4b4	Hardware Testing	Greetings from e-Yantra!  Dear Participants,  TheHardware Testingfolder is available on the portal with all the related documents.  Hardware Testing folder can be downloaded from Shipment page once you accept and acknowledge that you have received the shipment from e-Yantra.  Kindly go through thevideo tutorialprovided for the same and record similar video of Hardware Testing at your end.  Please ensure you read all the documents properly and make the hardware connections properly before switching on the power supply. Read the instructions given for video recording.  e-Yantra will not be responsible further if any fault in hardware provided is found after the deadline of 28th December, 2017. If some hardware component is faulty,please inform us as soon as possible to avoid delay in shipment.  So, perform the hardware testing and upload the video link on portal as soon as possible. There will be no extension in the deadline for Hardware Testing in any case. Disclaimer: This is only for Planter Bot.  Any doubts or queries related to it are welcomed.  Thank you.  Happy Learning! #pin	planter_bot
jlfbcgtqtds2ln	urgent	Hi ,I partcipate in eyrc 2017 but I didn't got my certificate. So I want to know how I get to know it's merit or just participation certificate. We got to the last round but got eliminated in it.	transporter_bot
jemgr4j7xxj4lp	about accommodation and help	is it possible for the teams to get accommodation in campus till 27 march so that they can see Mumbai because we don't go Mumbai frequently and we really want to visit some places , if any additional charges needs to be paid we will pay it.if its not possible in the campus can you please arrange something outside  of the campus please help us. and inform us as early as possible because we have to book ticket for return journey as well.thank you.	harvester_bot
jedrh3xqt2l1jm	Scoring of Task 4	Will you give us score totally based on video or You will consider code as well. Since Due to Lower quality of video Last LED blinking color are not properly captured. But We have mentioned all the working thinks correctly in code.	planter_bot
je7fpjcgvxy4hj	Regarding task submission for certificate	Sir, we got a mail where it is mention that we need to submit our video & code by tomorrow for getting certificate. Sir we got this mail at night & tomorrow is holi in West Bengal & our collage will be close tomorrow & our flex & robot is in collage, so sir in that case how can we do our video. Sir we do a lot of hard work for this project & we really want the certificate. Sir may you kindly tell us what to do now?	harvester_bot
je52kyxdtml55r	Obscure rules regarding submission	"The portal says, "" 4. Your ""Original Deadline"" = Time of Original Configuration Download + 48 hours. 5. For 2 days after the original deadline, you will incur 15% penalty per day.""   According to point 4, for a team that downloaded the task on 24th, the ""Original Deadline"" will fall on 26th of February. So, 2 days after 26th is 28th. It is only fair if e-Yantra lets us submit the task, as the rules have been mentioned wrongly on the portal."	harvester_bot
je3y6aw9jun4xq	Zone indicator before Inverted Plain	Team ID: 2778 Is it required/mandatory to stop the robot at last zone indicator ( the one just before Inverted Plain) ? If ' Yes ', then is there some specific minimum duration of halt ? 	planter_bot
je3tv0w06es6hr	Query concerning robot's position at Shed	     Team ID: 2778 Theme: Planter Bot  In Read Me.pdf provided for ' original configuration ' in Task 4 it is clearly stated that at the Nursery robot should be placed in cell R3 however, nothing has been specified for the robot's stopping position at the Shed.  So, can you please state the cell coordinates for Shed similarly ? What will be castor wheel and motor wheels position in Shed ???       	planter_bot
je32rf6p13511i	Unable to see demo video	we did not watch the demo video and now its not there in the portal . Please help!!!	transporter_bot
je32hq5k59c4vc	about task4 document folder	what are all the documents to be present in the document folder is it just the .py code or what else 	planter_bot
je2z7q3pgno4p6	regarding robots movement	our robot is stopping in the middle of the running code at random points. could you please help us to resolve it.	harvester_bot
je2r7qmcela2q6	Regarding printing of Title_slide	Sir, as today is Sunday all the shops in our locality are closed & we are not able to print Title_slide. So can we show Title slide in laptop during the video.	harvester_bot
je2ldyb55al64r	IMPORTANT QUERY	Would it be valid if we shoot the introduction part and demonstration part separately and then merge them together? Or this is not allowed? Reply ASAP. ( We would like to mention that there would be no merges or any kind of editing in the demonstration part itself. )  Regards, TeamID: PB#931	planter_bot
je2ef9hlkaa2qn	Regarding introduction video	Currently we are having holidays in our college so all our members cannot be together for the video.So can we merge introduction by all team members separately? Also can only a single member(may or may not be leader) hold the Title_slide.docx in the starting rather than the whole team?	planter_bot
je2copbaqzi4yc	About final video	We have shot the introduction and a one shot demonstration video separately. Can we merge them or we have to make a one shot video of both introduction and demonstration?	planter_bot
je1zw2jp7ix7cm	URGENT	"We believe there is a technical glitch in the portal Task 4 window. We are left with more than a day left and the options for uploading the video and documented code have been wiped out. and it shows ""competition has been closed"". Please help us as we have to upload the original configuration ASAP.  Regards, Team ID PB#931"	planter_bot
je1x93i1b9v5a1	Task 4: Demo Video and Code Submission	"original configuration: competition has been closed! we were ready with the demo video and code and were about to submit it, but it is showing as ""competition has been closed""plz resolve the issue fasteYRC2017Track1_je1x2ilju439.png"	planter_bot
je1shfmxy0z148	Regarding Final Video	Sir, We have shot a video that displays of the arena and the laptop screen at a time but the overlay on plantation is not perfectly visible . if we need to show the overlay properly then we cant show the arena fully and we have to show the plantation image and arena separately So what should we do?	planter_bot
je1sgx4wp5eqy	Arena printing on opposite side of flex (To cut off glossiness on the flex)	Due to the glossiness on the flex we are facing a lot of problem especially in the colour detection of colour markers.So can we get our Arena printed on the opposite side of the flex for the final submission of the task, because this will cut off the glossines on the flex. Its quite urgent, please reply ASAP.	planter_bot
je1p1oeahlxnq	Final Video Submission	As all the team members are at home due to holi holidays, can only one member introduce the task or can we prepare individual introductions (each less than 30 seconds) and then combine them all into one ?	planter_bot
je1otxt4uyt2lo	regarding the final video	Is it mandatory for all the team members to be present in the final video ? Two of our team members are out of town. Is it okay if only two are present in the video?  team id: #1541	planter_bot
je1mwiw0ruu57	picamera not working	The picamera suddenly stopped working. Stating that picamera is not enabled and cannot import picamera, failed to connect out of resources. It was working well in the morning and was able to follow the line efficiently but suddenly in the evening it stopped working. I tried to enable and disable the camera using sudo raspi config and reboot it many a times but went into vain. So can we submit only the documented code  and a the two videos respectively stating the disfunctioning of the picamera ?Team Id:pb#1254	planter_bot
je1lby141ri521	changing speed of the robot for bonus configuration	Can we change the speed of the robot for bonus configurations? 	planter_bot
je1hgbnlp29714	Picamera error	IMG_20180224_200908.jpgI tried to capture two images. One for line following and other for capturing images. I wasn't getting error in the morning but I'm getting error now. What m I to do. Please help.	planter_bot
je1gj3d6mk57f8	Sd card got damaged	Sir when we were running our bot, suddenly our sd card stopped working and when we tried to connect sd card with computer it is showing only 2MB space. Due to which we lost many hours, but we are trying our best to come back(we have bought a new sd card for now). It will be glad if you can provide any kind of help. Thank you  Team Id: #1704	planter_bot
je17vxin62w3l9	white line sensor not working	Hello sir/mamSuddenly one of a white line sensor stop transmitting light although it is giving reading on the display but always greater than 100Kindly suggest anything	harvester_bot
je14wy1u7vruq	detection of vertex numbers of color markers	we can't detect the vertex nos of color markers using this formula approx = cv2.approxPolyDP(i,0.01*cv2.arcLength(i,True),True) pleas help us ...... PB#109   	planter_bot
je0zvikopwr3b6	Code submission	When do we have to submit the code. On portal it is given that within 48 hours of download we have to submit the video and what about code? It is given until 26th that we can submit the code.please reply as we have only 12 hours left	planter_bot
je0tjfmde9d4d1	Float Division Error	"Sir we are trying to find center of color marker using moments, but continuously we are getting this ""FLOAT DIVISION BY ZERO"" error, we are not getting problem. Help us as soon as possible. Thank You in advance. "	planter_bot
je0g97e1dn55l5	Regarding reposition rules	How many repositions are we allowed to do while submitting task 4 video? And please specify the penalty if?	planter_bot
je09rqkp6or5km	evaluation of final video	Does the scoring criteria given in the rulebook will be used for evaluating final video or any other scoring criteria will be used? if we are traversing whole arena with detection and counting of CM's and not able to detect shape and thus not able to do overlaywill our score will go negative as penalty is too much	planter_bot
je060jgbqg25nn	ZI Doubt	If there are 4 ZI (including the null ZI at the IPP) then we should blend on PZ A,B,C leaving D . Am I right ? Or is there any other rule for the same	planter_bot
jdnzoe0zkar270	Problem Regarding Plantation Zone 4	Respected Sir/Ma'am The PZ-4 in the plantation image is small and hence is posing a little problem with overlay images with landscape orientation. Since the aspect ratio of some of the images is large, we are not able to downsize them without losing the visibility and we are having to compromise by skewing the aspect ratio to provide proper visibility. It would be really helpful if you could give us an insight of how could this problem be solved. I am also attaching an image of my understanding of PZ-4, it may be possible that i am mistaken. 	planter_bot
jdnyg598yyzdw	Increasing FPS of RPi	If we overclock our board to 1GHz, will that require an extra cooling system? We tried breaking frames into threads but that didn't work.	planter_bot
jdnhjjlgc496pb	Battery to power Robot	Transporter botTeam ID #3322Here I want to know that can we useanother battery other than that u have provided to us for powering to FirebirdV because we are using two other actuators other than servo for gripping ?	transporter_bot
jdk58hv5pju5o4	Change in picking mechanism	We have changed our picking mechanism from the one we proposed in the Task 3 document. I hope it isnt a problem. Team ID-1558	transporter_bot
jdk1k0up9t51z0	Memory Card	Can we use a 16 GB class 10 memory card instead of class 4??	planter_bot
jdj42m6dpf66bf	Regarding progress video submission	We weren't able to submit our progress video due to both exams and minor project presentations.We are currently struggling withpath traversal.We have completed the colour marker detection and image overlay part.We are sorry for the delay.Vivek SoodTeam LeaderTeam no. 508	planter_bot
jdiw0a6a5757dj	Feedback from progress video	Respected sir/ma'am;     How and when we get feedback of our progress video... Our team ID - #109	planter_bot
jdiurjcnvpx7ey	REGARDING PROGRESSION VIDEO	TEAM ID-4060 Respected Sir/ Ma'am We are unable to upload the progression video on 6th of Feb,2018 due to the college internal exams. Now we are working with good pace and so far we have completed 60% of the task. Now is there any disqualification of team if it is not able to upload the progression video. But we are sure to complete the full task very soon.	planter_bot
jdiqaprzlwg4rh	Traversal	#4183 After analyzing the plantation zone does the bot have to be in static position while the led blinks or can it keep traversing	planter_bot
jdh9vf7ohegj	encoder doubt	team PB#2082 sir, The number of pulses per revolutionnoted in encoders are different for different observations and also the number of pulses received initially is slow but is increasing later on gradually.Please help us to rectify this error	planter_bot
jdfzxcjhntq5q4	issues with controlling bot	we are having trouble controlling our bots. we are using contour detection for following the line but can't get the next frame quick enough for processing so that the robot can make a turn when track turns. we have tried reducing the resolution and frame rate is already 20. please help.	planter_bot
jdf4e26shrj4dy	Overlaying doubt	Dear sir/ ma'am        How to detect the green part in the plantation image to overlay the flowers in respective plantation zones? Please reply ASAP as we don't have enough time.	planter_bot
jdd9urqenzg2yd	About accessing individual objecs blender	Hi! We have written code for individual objects by their names for moving them to respective co-ordinates. But all the objects move to that point which is lastly assigned irrespective of the objects' name. How do we access individual objects using their names? Please help.	transporter_bot
jdcz4en46y4nv	feedback progress video	Hello, When will we receive the task result (feedback) for our progress video?	harvester_bot
jdcwffjigjuq5	About the code for setting up the crates in Blender	How do we have to take the input from the user ? Like after running the script from python console or from a text file where the user can input the required sequence ?	transporter_bot
jdckuc52p1z3h2	Doubt	On the plantation image how should we know where the flower must be blended. I mean should it be done by hard codes coordinates	planter_bot
jdbw1zt1ih94jp	Overheating of L298	I was not facing problems with L298 h bridge but recently it started overheating as soon as I connect battery to it. I have changed 3 H bridges. But still the problem is there. Please help us soon regarding this.	transporter_bot
jdbsrpd38f66xb	Can we put other images in addition to our code in Pi?	I wanted to know whether we can keep other files on our Pi which our code can use.  For example, keeping the images of the various shapes or some custom-created mask images that help us in overlaying?	planter_bot
jdbnn4infzqu	Regarding  Pi is not working	Sir, Our pi is not working properly and light is also not blinking. Can we use another Rapsberry pi ??	planter_bot
jdbj6vq7ut4ko	blender problem	When we are trying to move robot through loc send by xbee in blender blender stops responding	transporter_bot
jdbagh5oa6i672	Doubt	How to know the coordinates of PZ (plantation zone) should it be done by a hard codes coordinates or else what is the other way.	planter_bot
jdba13pzxwo7nk	read image	how to read images saved inside RPi3? how to read the 'plantation.jpg'?	planter_bot
jdb2ox02t4j41o	help with interrupts	Can anyone share me a link to study interrupt routines on Rpi?? I have searched few websites but couldn't fund anything useful there.	planter_bot
jdakdighfo633z	Raspberry pi 3	Sir/mam , we were working on the motor code and suddenly it stopped working ... We realised some of the gpio pins are not working and the pi gets quite hot now ... When we again tried to use the motor code, 2-3 pins then had a voltage of 2.3v instead of 3.3v .... So we are not using pi for now .... Pls instruct us what is wrong and how should we solve this problem , we don't want to fry the remaining gpio pins .... Pls help us our team id is 2415	planter_bot
jda2pbthrq96t3	no permission to update gpio	"Team#2082 while I was using pigpio library, though I have installed on my rpiit is giving an error ""no permission to update gpio"""	planter_bot
jda1r9awp3ftn	Error on running picam module	We are getting same error from a while. We replaced picam also but that didn't help. Error says: no data received from sensor. Check all the connections. Please help!! IMG20180202WA0001.jpg	planter_bot
