TITLE	MAIN_CONTENT
Regarding Reimbursement and Certificates	"Dear participants,   We request all the participants who are eligible for cash prize and certificates to wait till end of April for their reimbursement.For the certificates, wait till end of May.Please DO NOT send us unnecessary request for reimbursement .If you do not receive your reimbursement by end of this month, you can send us the request on help-desk. #pin"
Navigate_A_Terrain	"Dear Finalists, There is a minor change in the Scoring Criteria for the finals. Below given formula will be used for scoring during the finals.   Total Score = (720-T) + CIC*70 + CAC*70 + CP*50 - RP*70 - P*30 + OB  The scaling factors for CIC (Correct Identification of Checkpoints) and CAC(Correct Acknowledgement of Checkpoints) have been increased from 50 to 70. Good Luck for the finals ! #pin"
Navigate_A_Terrain	"Dear Finalists, For Navigate a Terrain, 1) You are allowed to use your own laptops to run your code (to process the MAP image) during the finals. Laptops will be taken from you before the final arena configuration is revealed and no changes in the code after that. 2) Before taking the laptops from teams, we will copy the MAP image in the location specified by the team on the laptop. The map image will be named ""MAP.jpg"". 3) Please ensure there is sufficient charge in your laptop. The same thing holds for Rover and Base Station batteries/power banks. Please ensure there are fully charged before the run. #pin"
Launch_A_Module	"  Dear Finalists,   Here are few suggestions which you can choose to follow for your theme:  Teams may have to use re-position/restart in case your bot goes haywire, so your code should be ready to handle re-position/restart. Study about the rules regarding these carefully.  Always have the battery sufficiently charged for the final demonstration, or keep extra battery if you have. Remember e-Yantra won't provide you another battery. Each team will be provided with a laptop to run the code for the practice session. Laptops will have both linux and windows installed. You may have to install your respective libraries to run your code.One practice arena is provided amongst 5 teams. We are opening up practice room early for LM and expect teams to understand importance of time and help each other. Your focus should be to calibrate your code for given light condition.We will provide you objects and obstacle blocks, however you can carry few on your own in case you need it. #pin"
Instructions for Finals	"Dear Participants,   This post is to resolve some generic queries regarding finals:   Reporting time is 08:00 AM on both daysIt is mandatory for teams to report for finals at the venue, even if there theme is not schedule. Team can either be in practice or in finalsTeams outside Mumbai, should ideally try to come a day before i.e. on 23rd. This give them time to settle a bit and get ready for next dayPractice arena will be provided 23rd march onwardsDetail schedule will be provided on portal on TuesdayMake sure you read the instruction on portal carefullyMake sure each team member fill their account details correctly.   PS: Teams who have filled the account details yesterday are requested to fill it again. #pin"
Model_a_Terrain	"We are receiving many queries on Piazza and Helpdesk regarding the problem you are facing to interface Color Sensor and GY-87.   Using INT2 interrupt for Color sensor, you have to desolder the MAX 202 connections. If you are not getting that then there is an alternative way.   Use pinchange interrupt. Connect OUT pin of color sensor to pin 44 (PJ3) on expansion slot.   Code using pin change interrupt for color sensor is : Color_Sensor.cpp   All the best! #pin"
Model_a_Terrain	"Dear Participants,   We are receiving many queries on Piazza and Helpdesk regarding the problem you are facing to interface Color Sensor and GY-87.   The solution to this is you can follow the below given Pin Connections:   Color Sensor: Vcc - Servo Pod 7GND - Servo pod 8 In expansion slot: OUT - INT2 (Pin 38)OE - Pin 24So - Pin 25S1 - Pin 29S2 - Pin 33S3 - Pin 34   GY-87: (In expansion slot) Vcc - Pin 21SCL - Pin 20GND - Pin 23SDA - Pin 19   #pin"
Search for Teammates!	
Regarding the certificates	"Dear sir,   We were mentioned that we would be given completion certificate.But we haven't recerived it till date.And also since our semesters have ended, we have gone home, can u please mention the tentative dates when we will receive them so that we could inform our college"
Balance Bot Code	"Followup on post @1809, I've uploaded the code and our task submission here: https://github.com/heethesh/Balance-Bot   I'll keep updating the repo and upload the video also soon.   Cheers!"
return of robot	"Sir, We did not see the email of returning the robot.    Can we return the robot now??  "
Interview	Is the interview through video or text chat?
Closing of piazza forum	"Dear All,   Thank you for being part of Piazza forum. We are now closing the forum.    Send email to helpdesk@e-yantra.org in case of any doubt/query"
Confusion in robot return	"Sir/Madam,    I didn't receive any email regarding the return of robot and other accessories. So, I am going to handover it to my college robotic club. If I am supposed to return it to E-yantra office, IIT Bombay ; kindly notify me.    Thank you   Damodar Mahto MT#1207"
Regarding Certificates	Respected Sir/ Ma'amOur team id is #NT-1762. We have not received any notification about our certificates. I would request you to confirm the status of the same.
