TITLE	MAIN_CONTENT
regard reimbursement and certificate	dear participant request all the participant who be eligible for cash prize and certificate to wait till end of april for theirreimbursement.for the certificate wait till end of may.please do not send unnecessary request for reimbursement .if do notreceive yourreimbursement by end of this month can send the request on help desk pin
navigate_a_terrain	dear finalist there be minorchange in the scoring criterion for the final below give formula will be use for score during the final total score -t cic cac cp rp ob the scale factor for cic correct identification of checkpoint and cac correct acknowledgement of checkpoint have be increase from to good luck for the final pin
navigate_a_terrain	dear finalist for navigate terrain be allow to use own laptop to run code to process the map image during the final laptop will be take from before the final arena configuration be reveal and no change in the code after that before take the laptop from team will copy the map image in the location specify by the team on the laptop the map image will be name map.jpg please ensure there be sufficient charge in laptop the same thing hold for rover and base station battery power bank please ensure there be fully charge before the run pin
launch_a_module	dear finalist here be few suggestion which can choose to follow for theme team may have to use re position restart in case bot go haywire so code should be ready to handle re position restart study about the rule regard these carefully always have the battery sufficiently charge for the final demonstration or keep extra battery if have remember yantra wo n't provide another battery each team will be provide with laptop to run the code for the practice session laptop will have both linux and window instal may have to install respective library to run code.one practice arena be provide amongst team be open up practice room early for lm and expect team to understand importance of time and help each other focus should be to calibrate code for give light condition.we will provide object and obstacle block however can carry few on own in case need pin
instruction for final	dear participant this post be to resolve some generic query regard final reporting time be be on both daysit be mandatory for team to report for final at the venue even if there theme be not schedule team can either be in practice or in finalsteams outside mumbai should ideally try to come day before i.e. on rd this give time to settle bit and get ready for next daypractice arena will be provide rd march onwardsdetail schedule will be provide on portal on tuesdaymake sure read the instruction on portal carefullymake sure each team member fill account detail correctly ps team who have fill the account detail yesterday be request to fill again pin
model_a_terrain	be receive many query on piazza and helpdesk regard the problem be face to interface color sensor and gy- use int interrupt for color sensor have to desolder the max connection if be not get that then there be an alternative way use pinchange interrupt connect out pin of color sensor to pin pj on expansion slot code use pin change interrupt for color sensor be color_sensor.cpp all the good pin
model_a_terrain	dear participant be receive many query on piazza and helpdesk regard the problem be face to interface color sensor and gy- the solution to this be can follow the below give pin connection color sensor vcc servo pod gnd servo pod in expansion slot out int pin oe pin so pin pin pin pin gy- in expansion slot vcc pin scl pin gnd pin sda pin pin
regard the certificate	dear sir be mention that would be give completion certificate.but have n't recerive till date.and also since semester have end have go home can please mention the tentative date when will receive so that could inform college
balance bot code	followup on post ve upload the code and task submission here https //github.com heethesh balance bot will keep update the repo and upload the video also soon cheer
return of robot	sir do not see the email of return the robot can return the robot now
interview	be the interview through video or text chat
closing of piazza forum	dear all thank for be part of piazza forum be now close the forum send email to helpdesk@e-yantra.orgin case of any doubt query
confusion in robot return	sir madam do n't receive any email regard the return of robot and other accessory so be go to handover to college robotic club if be suppose to return to yantra office iit bombay kindly notify thank damodar mahto mt
regard certificate	respect sir/ ma'amour team be nt- have not receive any notification about certificate would request to confirm the status of the same
site have be down	sir madam be unable to login to the portal say whoop look like something go wrong would like to know when the site will be up again.thank
resume github link submission	do need to update resume link only on google form or should update the same on portal
regard certificate	hello be state in theportal that be eligiblefor theletterof participation wehaven't recieve yet also be eligible for eyantra goody thank for urtime appreciateit team nt
resume reference	what should put in the reference section
regard the robotic kit return	sir do n't get any email for the robotic kit return please tell what to do when and where to return the kit
regard the return of kit	do nt get any email regard kit return what have to do now return kit to college or send to eyantra
uploading code on github	be require to support the project on resume by upload the project code on github
latex package query	can use any package or be there any restriction
photo gallery	please make the drive link for the photo on the website as public thank
resume query	can use template available online lm
address for return robotic tool kit	to which address be suppose to return the robotic tool kit
spell mistake in certificate	receive the certificate but be in father 's name and not mine rest of team member have receive correctly spell certificate please advise
