QUERY_ID	HEADER	TITLE	MAIN_CONTENT	DATE	TAGS
jgx9jjqhruy6qz	Pinned	URGENT: Robot Return	Dear Participants,  Kindly return the robotic kits as already stated on the previous post and communicated via email (check your e-Yantra portal for more details). We understand that many teams are going through their exams, but sending/submitting kits will not take much of your time. Moreover, note that certificates will be withheld until we receive the kits.  We advise all the teams who have not yet returned the kit to us or submitted the kits to their college (whichever option is mentioned on the portal). Kindly communicate when you will ship/submit the robotic kit via email at helpdesk@e-yantra.orgmentioning the Team ID, Theme and Dateby which the team will return/submit the kit.  PS: Kits include everything that you have been provided for the theme. #pin	05-08-2018	harvester_bot,planter_bot,transporter_bot
jg657ewm4rz5bp	Pinned	Final Task: Robot Return	Dear Participant,Greetings from e-Yantra!!Thank you for participating in the e-Yantra Robotics Competition (eYRC-2017) and we hope you had a wonderful experience.As the last task in the competition, teams have to return the Robotic kit to e-Yantra or to their respective institution.  Team leader should login only to his/her portal and follow the given instructions carefully.  Please note that 27th April, 2018 is the last date for all the required modalities. Important:1. You can ignore this mail if your team has already submitted the robot to e-Yantra, IIT-Bombay.2. For team entitled for certificates, these will be shipped to you only after we receive the robotic kits/Robot Return acknowledgement.For any queries please mail us athelpdesk@e-yantra.org.Best wishes,e-Yantra Team #pin	4-19-18	harvester_bot,planter_bot,transporter_bot
jeyk2vpg9od4ll	Pinned	Urgent: Regarding Finals	Dear finalists,  Kindly note the following instructions for the finals of Harvester Bot:  1. Formula as mentioned in the Rule-book will remain same. 2. Direction of attaching the Fruits will begin from the Trees side facing e-Yantra in clockwise fashion as already mentioned in the rulebook. 3. In the finals teams will be getting Trees of4.25 inchesof diameter due to unavailability of the 4 inch ones. Teams are advised to make slight changes regarding the same. Moreover the practice arena for the same will open a day before the competition hence teams can also calibrate here at IIT Bombay. #pin	3-19-18	harvester_bot
jems5vv4l4q4z7	Pinned	Finalist details	Dear finalists,  Please fill the bank and travel details carefully latest by today midnight so that we can arrange the same without any hindrance. Each member have to fill their account details on portal and only team leader have to fill the team travel details on portal. Please fill these details by today Midnight.  Stay tuned! #pin	03-11-2018	harvester_bot,planter_bot,transporter_bot
jekafpcz91x2w5	Pinned	Final Results	Dear Participants,  eYRC-2017 final task (Task 4: video and code) results have been announced. Please check the portal to know the same. Please note that this decision is final and no requests about the same will be taken into consideration.  All the best!!   #pin	03-10-2018	harvester_bot,planter_bot,transporter_bot
je1qcj62ybh60s	Pinned	URGENT: Task 4-Bonus Configuration	Dear Participants,  In bonus configuration, you should follow only the image given in the configuration PDF file itself i.e.for bonus task you should ignore the rulebook rule that Fruits are to be placed in clockwise fashion starting from the Tree side facing e-Yantra logo (just this time, rule stands as it is.) I hope this is clear. Please let me know if there's any issue. #pin	2-25-18	harvester_bot
jdy29zcvmf4o6	Pinned	Final Task	Dear Participants,  The final task of eYRC-2017 i.e. Video and Code Submission is going to be released today midnight. Itwill be available for download fromMidnight, 22ndFebruary, 2018 to Midnight 24thFebruary, 2018.  Read the instructions carefully before downloading the task. Once you download the Original Configuration, a countdown timer of 48 hours will start. You will have 48 hours from time offirst downloadto submit your solution for this Original Configurationwithout any penalty.  We hope that you are ready with your solutions and if not, please work hard to finish the theme implementation. Any requests for extension of deadline willnot be entertained.  Stay tuned and all the very best! #pin	2-22-18	harvester_bot,planter_bot,transporter_bot
jbg3n8acoae6cn	Pinned	Rulebook and Task 3	Dear Participants,  Task 3 and Rulebook has been released on the portal.  Download the RulebookunderTheme tab on portal and analyse the problem statement.  Download the Task 3 from portal and complete the task before9th January, 2018.  Happy Learning! #pin	12-21-17	harvester_bot,transporter_bot
jbbrw9ult7r4b4	Pinned	Hardware Testing	Greetings from e-Yantra!  Dear Participants,  TheHardware Testingfolder is available on the portal with all the related documents.  Hardware Testing folder can be downloaded from Shipment page once you accept and acknowledge that you have received the shipment from e-Yantra.  Kindly go through thevideo tutorialprovided for the same and record similar video of Hardware Testing at your end.  Please ensure you read all the documents properly and make the hardware connections properly before switching on the power supply. Read the instructions given for video recording.  e-Yantra will not be responsible further if any fault in hardware provided is found after the deadline of 28th December, 2017. If some hardware component is faulty,please inform us as soon as possible to avoid delay in shipment.  So, perform the hardware testing and upload the video link on portal as soon as possible. There will be no extension in the deadline for Hardware Testing in any case. Disclaimer: This is only for Planter Bot.  Any doubts or queries related to it are welcomed.  Thank you.  Happy Learning! #pin	12-18-17	planter_bot
jb1vmzavgixmq	Pinned	Stage 1 Results	Dear participants,  Stage 1 results have been announced. Please check the results by logging into your e-Yantra portal.  PS: If you are trying to reset your portal password, it is not working due to some technical problems. Please be patient and check the same after 5 hours.  All the best!! #pin	12-11-2017	harvester_bot,planter_bot,transporter_bot
