ID,HEADER,TITLE,MAIN_CONTENT,DATE,TAGS
jv7zii4u6xe5un,Pinned,      [URGENT]: Robot Return,"Dear all,
 
Hope you enjoyed the whole eYRC-2018 journey with us and learnt a lot.
We have already mailed about the return of the robotic kits. 
 
We would like if you kindly bear with us and send the kits to us (details mentioned on the portal) latest by Monday i.e. 6th May, 2019, along with TRACKING ID of the concerned package.
 
Please note that Prize Money (for Winners), TA/DA(for finalists) and certificates (for participants) can not be processed/generated unless we receive the the robotic kits.
This is the final reminder and aforementioned certificates, prize money as well as TA/DA will NOT be processed afterwards for any team.
 
Regards,
e-Yantra team
 
#pin",5/3/19,"hungry_bird,pollinator_bee,mocking_bot,drona_aviation"
jttmh1lxdt14lt,Pinned,      e-Yantra Robotics Competition (eYRC) 2018 Finals Live on YouTube !!,"Respected participants,
 
Come view the Grand Finale of the e-Yantra Robotics Competition LIVE here
 
#pin",3/29/19,"hungry_bird,drona_aviation,mocking_bot,pollinator_bee"
jtse0e2xfcr6xo,Pinned,      Notice to finalists practicing today.,"The convention center rules prohibit us to stick things on the walls, the fine for doing so is 5000 rupees. So please refrain from doing so. All the best!Regards,
e-Yantra Team#pin",3/28/19,"hungry_bird,pollinator_bee,mocking_bot"
jteei3iyo2a6fw,Pinned,      Regarding piano base,"Can we use the base of the piano designed by us which is of the same dimensions as mentioned in the rulebook. The image of the base and the reason for its usage has been mentioned in the mail. Please reply to this query.
#161
MB
 
#pin",3/18/19,mocking_bot
jte51ytp1m8zs,Pinned,      eYRC-2018 Finals: Regarding Accommodation," 

Dear Participant,
 
The hostel accommodation for outstation candidates participating in the competition will be available from 11:00 AM of 27th March 2019 to 11:00 AM of 31st March 2019.
 
In case you are arriving before or want to stay after the above-mentioned dates, you will have to make your own arrangements for stay. You may like to search the web and get information on reasonably priced accommodation outside the IITB campus. We do not have any database on accommodation/hotels outside the IITB campus that we can share with you. 
 
However, we can recommend one paying guest accommodation that some of our workshop participants have availed of and given good feedback. 
 
For this, you may contact Mr. Chander Malhotra directly who provides paying guest accommodation in Powai close to IIT Bombay. 
 
Paradise Guest House is located in Powai. This is an exclusive facility which they offer to companies in and around Powai, including Hiranandani Gardens / Business Park, IIT and other companies. They entertain guests with personal reference and discourage walk-in guests.They have 9 rooms with attached western style toilets and hot and cold water. All rooms are air-conditioned and have cable network.We understand that Room tariff is approximately Rs. 2400/- per day and Rs. 2800/- per day, for Single and Double Occupancy, respectively. Additionally, GST is applicable. Their tariff includes bed tea, breakfast, Internet with Wi-Fi, mineral water and newspaper. They are open 24x7,  check-in and check-out times are flexible. 
 
Please contact Mr. Chander Malhotra directly for information and reservation and payment for the same.


Contact details:
Mr. Chander Malhotra 


email: cmalhotra@rediffmail.com


Mobile: +91 9820518104

 
In the interest of time, please do not send any request for accommodation for before or after the event as we will not be able to respond to it.

#pin


",3/18/19,"hungry_bird,pollinator_bee,mocking_bot"
jt8f57z7jec20e,Pinned,      FINAL Instructions,"Dear finalists,
 
The two-day finale schedule for eYRC-2018 has been updated on the e-Yantra portal along with important Final Instructions.
Please login and go through the instructions very carefully.
 
All the best!
 
#pin",3/14/19,"hungry_bird,pollinator_bee,mocking_bot"
jt5fafsmk7k2k4,Pinned,      [IMPORTANT] Instructions for finalists,"Dear Participants,
 
We hope that you have gone through @2384 enlisting some of the important points you need to take care during your finals.
 
This post is to inform you regarding the procedure by which we will be setting up the arena in finals.
 
You will be allowed to practise on the arena once it is setup. The location of the practise arena will be same as that of the final arena.You will have to bring Top of the Food trees (refer rulebook) alongwith WhyCon and ArUco markers . We will only provide you with base of the trees with sticker d (for food trees) attached. No joints or connectors will be provided to you. Hence make sure you bring extra joints and connectors (with stickers attached) as a backup.Construction of the top of the food tree should be strictly based upon the rules given in the rulebook. Also, make sure that hula hoops you have are clean and presentable.As instructed in rulebook, position of the base of the tree in finals need not be inside the cell. It can be anywhere.You will be instructed to submit the drone, hoops and Laptop before the final run. Then you will be given a CSV file and a Tree configuration Table (refer rulebook). This CSV file is just for your reference. The first column will be same but values in the second column can change. Third column is just for your understanding.In final arena setup, the base of the tree alongwith the height and sticker d will be fixed on the arena. On calling a team, teams will have to set up their hula hoops with the given orientation in the Tree configuration table.Teams will be allowed to change their csv file according to the given csv file in the presence of the instructor. No further changes to the code or csv file will be allowed. Then you will have to follow strictly the procedures mentioned in Theme Rules(6) in rulebook and @2384.
 
 
We hope that you will be considering the above parameters properly and make the code generic. Also one of the most important thing you need to consider is that the camera setup you have been working need not be same as that of finals in terms of lighting and height. So execute the theme in various light arrangements and heights (but within the constraints specified in rulebook). Firstly, concentrate more on reducing the collision chances so that you can avoid collision and reposition penalty and then only go for faster execution of your theme. Keep in mind that you have a bonus of 100 marks if you execute the theme without any collision which can play a major role to be the winner. Best of luck guys !!
 
#pin",3/12/19,hungry_bird
jt3z5v8ibu174b,Pinned,      Practice Audio File,"Dear Finalists,
 
Hope everyone is working to improvise design mechanism and algorithm. Meanwhile, find the Audio_practice.wav. Such kind of Audio file may be given during Finals. 
 

 
This is just a practice file so Onsets have not been provided. To try out more, you may download mono cover of Piano/Trumpet for any song.
 
 
#pin",3/11/19,mocking_bot
jszjj5gt1zj404,Pinned,      Hungry Bird: Congratulations and some important points.,"Greetings! Congratulations to all the teams who submitted Task 4! I'm sure all of you have learnt valuable technical and non-technical skills during the course of this competition. Good luck to you in all of your future endeavors! The top-performing teams have been selected to compete in the finals at IIT-B. We address the following to these teams.• Now is the time to refine your solution, focus on speed, precision and repeatability. Go through the reposition rules in the Rulebook thoroughly, develop an optimal strategy for repositions in a run. You are allowed only two key inputs in order to re-arm the drone and have it continue its run, more than 2 key inputs will be considered as an additional reposition.• Focus on ease of emulation, develop an easy, straightforward and quick method to do so.• Focus on accurately and quickly mapping of WhyCon coordinates to your V-REP world as well, you already know the trends.Try changing the height of your overhead camera (within the range specified in the Rulebook) and check if your mapping function/algorithm performs equally well at the changed height.• We reiterate that the drone will start at a designated Start cell, it will go to the Home Tree first and then proceed as per the Food Configuration Table.• You will be give then final configuration table 5 minutes before the run and you are not allowed to change your code after you get the table. Hence, to ensure modularity, uniformity and ease in implementation, the food configuration table will be given in the form of the CSV file in the format of this file: ,HB_Food_Config_Table.csv. The file will also contain the number of non-food trees. Use have to use ONLY this file to configure your run. Reading from CSV files is pretty easy in Python, please follow this link to find out how to do so.Good luck to everyone once again!Regardse-Yantra Team#pin",3/8/19,hungry_bird
jsy8m3iq26k7kp,Pinned,      IMPORTANT: Regarding Finalists,"Dear Finalists,
 
All the teams that have been shortlisted for the finals at IIT Bombay must fill the Travel and Bank details correctly and as soon as possible, on the
e-Yantra portal.
 
#pin",3/7/19,"hungry_bird,pollinator_bee,mocking_bot"
jsw5utacv5b78q,Pinned,"      Doubt about remark :- ""Traverse through Home tree before traversing through any food tree.""","Team ID :- 1082 Hungry Bird
 
In our results the instructor has commented ""Good Job., However, you were supposed to traverse through Home tree before traversing through any food tree "".
 
The doubt is the rule that we must ""first traverse through Home tree before traversing through any food tree"" is not mentoned in the rule book, 
In the rulebook its only clearly mentioned that ""Bird can follow any order to collect food from food trees. But after traversing throughfood tree it must come back to home tree"", our interpretation of this is that the bird must traverse to the home tree each time only after collecting insects from food trees.
 
Screenshot of an instructors answer:-

 
Rulebook:-

#pin",3/6/19,hungry_bird
jsine6272gh3rf,Pinned,      MB: Submission of Final Task 4,"Dear Participants,
 
Reminder: Today midnight is the deadline for submitting the Final Task.
 
We understand teams are working very hard to complete the Task and meet the deadline.
 
Even if you are unable to complete the Task as expected, such as playing the Notes at given Onsets or play the Notes audio files perfectly on Speaker, then too submit the Task as much you have completed.
 
Kindly submit the output_original.txt and output_bonus.txt files along with your Code submission zip file. Refer post @2329 for more details.
 
NOTE: DO NOT wait for the last minute, since uploading the video on YouTube video may take time based on your Internet speed or you may encounter portal not responding due to server load at last minute. Complete the Task and upload your submission well before the deadline.
 
NO extensions for submission of Task will be entertained. Also, submission of Task via mail due to missing the deadline will NOT be considered.
 
Best wishes !
 
#pin",2/24/19,mocking_bot
jsh9lzv195z6qc,Pinned,      Regarding submission of Bonus Configuration code,"Respected students,
 
If you have submitted original configuration code, you do not need to submit bonus configuration code. Just provide us with your YouTube link.
 
#pin",2/23/19,pollinator_bee
jsfue2pnjv650t,Pinned,      URGENT: Final Task,"Dear Participants,
 
Deadline for downloading Original Configuration closes tonight at 2359 hours. Make sure you download the same well before time.
Also, make sure that the code is generic to cover all the possible cases including Original and Bonus. Any hard-coding might result in direct disqualification of the team.
No deadline extension under any circumstance will be entertained.
 
All the best!
 
#pin",2/22/19,"hungry_bird,pollinator_bee,mocking_bot,drona_aviation"
jsdkm8ozi8p71x,Pinned,      MB: Regarding Final Task 4,"Dear Participants,
 
The Final Task 4 is launched. Please read all instructions on the portal's Task 4 page very carefully before downloading the Task.
 
While implementing both Original and Bonus configurations, you will run the provided ping_instrument_final_task.py file that will communicate with the Instrument ATmega board and print the information about the Instrument name, Note played and instant at which it was played. Along with this, it will generate an output.txt file too.
 
NOTE: After running ping_instrument_final_task.py file for Original configuration, rename the generated output.txt to output_original.txt and after running it for Bonus configuration, rename the generated output.txt to output_bonus.txt. While submitting your code, submit these output_original.txt and output_bonus.txt files along with Instrument and Bot project folders.
 
Also, note you can submit the video link for Original and Bonus demonstration as well as zip file for Code ONLY ONCE. So, check twice before submitting on portal.
 
Best wishes !
 
#pin",2/21/19,mocking_bot
