ID,HEADER,TITLE,MAIN_CONTENT,DATE,TAGS
,,,,,
jtcsvrc425l6j6,Week 3/17 - 3/23,      Amtega2560 board problem,Respected SirOur avr atmega2560 development board has stopped working properly. The port pins are getting high and low on there own. Most probably the board has been short circuited.We looked for the same board in the market but it was not available. We also looked online but it will take a lot of time to So can we use arduino atmega2560 board instead of Atmega2560 development board as the micro-controller is same in both the boards i.e mega2560.,3/17/19,"thirsty_crow,nex_hardware_queries"
,,,,,
jt52fc63pvx1zu,Week 3/10 - 3/16,      Result Help,"Sir, 
A mail was sent on the helpdesk three days ago regarding a problem we have been facing. There has been no reply yet. Please help.",03-12-2019,ant_bot
,,,,,
jszxltjc3z3202,Week 3/3 - 3/9,      Can we use Yaw sensor,"We want to use a Yaw sensor as an additional actuator to turn the robot(ant-bot) perfectly by 90 degrees/ 45 degrees.
Can we use it?
 
Team ID: 2121
Theme: Ant-bot",03-08-2019,ant_bot
,,,,,
jsyrhz2e1in1qg,Week 3/3 - 3/9,      Certificate of Participation,How and till when will get the certificate of participation?,03-07-2019,ant_bot
,,,,,
jsxe42eq9zd6ja,Week 3/3 - 3/9,      What's next ? When will we get the certificates and what about the robot now ?, ,03-06-2019,thirsty_crow
,,,,,
jsklh14pyhx396,Week 2/24 - 3/2,      Regarding task 4 video submisssion,"eYRC TeamID - 2683 sir, due to large file we were unable to upload on you tube on time, and also we mistook the penalty dates after 24 th Feb.Now we are trying since morning to upload the link as we have send the code yesterday only. We have sent you mail regarding the video submission Please consider our mail .",2/25/19,ant_bot
,,,,,
jsevrfst4qw6dc,Week 2/17 - 2/23,      Battery drains on applying PWM,"Respected sir, We have changed all the three components as we were having a fault in driving the robot : Battery, Motor Driver & Motors according to the given specifications last week. After that our robot started working properly. Suddenly, today we are getting an issue that our battery drains away as soon we give PWM to it. It is a genuine problem and we request that please look into the matter and reply at the earliest. Our Team ID is AntBot #2640.
Following is the video depicting the same:
",2/21/19,ant_bot
,,,,,
js1hille5h26hg,Week 2/10 - 2/16,      Code not evaluated.,"Sir,
In the results for the progress task, the remark says code not submitted and hence deduction of marks are there. But we had submitted the codes in folder with our team id. Kindly re evaluate our submission. Also it states that video was not from top angle view. But we tried the best possible way to capture the video overhead the flex. Kindly reconsider the penalty.
Team ID:400",02-12-2019,ant_bot
,,,,,
js1atstgbz7fj,Week 2/10 - 2/16,      Penalty Reconsideration,"Team ID: #226Sir/Madam,We have received a penalty of 25 marks for an offset from top view. We think the offset is little and also the entire arena is visible. We request you to reconsider the penalty marks and decrease the penalty because we tried the best available to get the top view.Thanks!",02-12-2019,ant_bot
,,,,,
jrh0ftg4vb77pd,Week 1/27 - 2/2,      Respond to mail sent to Helpdesk,"Team ID 108.
 
We have sent a message to helpdesk@e-yantra 2 days back. Please kindly respond to the query
 
Mail sent from team leader's mail ID",1/29/19,ant_bot
,,,,,
jrgmyrv3ymj77o,Week 1/27 - 2/2,      Very less change in valued for line sensor.,"Sir we tried calibrating the line sensor for our TC robot.We adjusted the potentiometers to full brightness as well as dim brightness.We also tried using ambient room light, flashlight, as well as no light during the night.Our white light sensor readings are in the range of 80s to 90s. There's very less change or even no change when it goes from black surface to white surface.Is it a fault of the white light sensor? Flex sheet? Or should we go ahead with these values.We tried moving the robot from white surface to black surface. The change was hardly ± 2 to 5.Black: 84 to 87.White: 83 to 88.",1/28/19,"thirsty_crow,nex_hardware_queries"
,,,,,
jrc43wyy40nh9,Week 1/20 - 1/26,      Line sensor,"Hello,
We were given a three channel line sensor for our task (Thirsty Crow).
NOTE: It was working properly till yesterday, and has suddenly stopped working.
The sensor is not working properly and is showing some random values for black/white. What should we do?",1/25/19,"thirsty_crow,nex_hardware_queries"
,,,,,
jrahfza8yhd41y,Week 1/20 - 1/26,      Line Sensor not working,"Sir,
The LED in the line sensor has stopped glowing even when powered on. The values from the analog pins are not changing at all  whether we expose the sensor to white or black paper. Hence the values displayed are probably junk and as  mentioned by us  in the mail sent, can we purchase a new line sensor which is the same with your permission?
Ant bot Team ID #6338
Team Leader - Arsh Goyal",1/24/19,"ant_bot,nex_hardware_queries"
,,,,,
jr7vtj7vpfx3bc,Week 1/20 - 1/26,      Regaeding white line sensor,"Sir/Madam,
We are facing problem while using white line sensor as it gives us analog values only,hence, it is becoming very difficult for us to judge the movemment of the bot because these analog values are really close to each other therefore it becomes difficult to distinguish between them.

So, can we use three IR sensor modules instead of the white line sensor to avoid this problem as it gives us only digital values?",1/22/19,"ant_bot,nex_hardware_queries"
,,,,,
jr3kuzkel5k5kr,Week 1/13 - 1/19,      Chassis,Can we use the frame part of the firebird alone for the chassis?,1/19/19,"nutty_squirrel,thirsty_crow,ant_bot"
,,,,,
jr2em3twqf3iq,Week 1/13 - 1/19,      #2187 #AB#,"Progress task is to be submitted at Feb 1,2019 12:00am(on portal)  means it is till 31st January night we have time to submit right.",1/19/19,ant_bot
,,,,,
jr1yacikrd15qx,Week 1/13 - 1/19,      Regarding task 2 result,I have mailed eyantra regarding TASK 2 issue. Please reply asap. Team id #975,1/18/19,thirsty_crow
,,,,,
jr1w9tixuto2a,Week 1/13 - 1/19,      Request fpr replacement of Raspberry Pi3,"Today while working with the bot,the raspberry pi was working fine...suddenly we saw some smoke was coming from the pi and the it got disconnected from the wi-fi network and till now it is not being connected...even the blinking LED's of the pi are not blinking ...
If you replace it with a new one we shall be very greatful to you...we can provide some images or video to support our statement that it stopped working...
Looking eagerly to your reply...",1/18/19,ant_bot
,,,,,
jr1qf3g1az76pa,Week 1/13 - 1/19,      Regarding Battery,The battery provided in kit is unable to power our bot even after charging.So can we use our own battery?,1/18/19,nutty_squirrel
,,,,,
jr1j7v2t2k6ph,Week 1/13 - 1/19,      Use of extra actuators,Sir can we use extra two actuators other than given for pick and place mechanisms,1/18/19,ant_bot
,,,,,
jqomuljtkgo2rk,Week 1/6 - 1/12,      Query regarding line following,"Hi all.
Team ID #108.
 
I have a query regarding line sensor.
The gap between the left IR sensor and the right IR sensor is little more than 3cm. 
1) While line following, if the bot deviates from the line, we will not know in which direction it had turned until and unless one of the left/right sensor reads black as the gap between the sensors is little big. As in, let us say the middle IR goes just off the line. At this instant the readings will be all white as the gap between the middle and right/left is more than line thickness. So until the extreme ends IR sensors reads black, we cannot determine the direction in which it has deviated. So even if we correct the position, the movement of the bot looks somewhat zigzag like thing.
2) As mentioned earlier, the gap between left and right IR sensors is little more than 3cm, we cannot detect nodes like the one before the TDZ. 
 
Any suggestions will be greatly appreciated.
 
Thank you.",01-09-2019,ant_bot
,,,,,
jqgjl3p9h5m6ts,Week 12/30 - 1/5,      Raspberry pi stopped working,"We were not able to find the card reader due to which we were not  able to test the hardware within the given time frame. However once we found the card reader we started the testing , the raspberry pi was working fine until yesterday but today it is not even powering up , both the red and green LED s are not working , it is dead to be precise.
We used the recommended power source and have gone through all the other alternatives . 
We looked for the solution online and it stated that in these cases it is possible that the raspberry pi may be defective and needs to be changed .
 
Please help us with the same .",01-03-2019,ant_bot
,,,,,
jqgd38hy4qgwf,Week 12/30 - 1/5,      Finale,How many teams from each theme are invited for finals at IIT Bomaby ? Regards ,01-03-2019,thirsty_crow
,,,,,
jqg9gvmwq8u1m0,Week 12/30 - 1/5,      Elimination in task 3,Sir is there any elimination in task 3?,01-03-2019,ant_bot
,,,,,
jqfkew8dwk16up,Week 12/30 - 1/5,      Regarding Task 3 submission,"Sir/Ma'am 
We were trying to submit 15 minutes before the deadline but the portal was not excepting the folder, showing server error. I would like to know if penalty would be charged for the same.
eYRC-855",01-03-2019,ant_bot
,,,,,
jqfjymfzimvsa,Week 12/30 - 1/5,      Regarding task 3 submission,"I am from team 235, we had submitted our task 3 before the deadline but on the portal it showing that the time of submission is 00:00:23, so please guide us for the same.",01-03-2019,ant_bot
,,,,,
jqf9zwx0jzg46e,Week 12/30 - 1/5,      [Ant Bot]Extra Actuator for Camera Rotation,Can we use an extra actuator/servo motor for 360 degree turning of rpi camera(yaw)? ,01-02-2019,ant_bot
,,,,,
jqcq0unrl995rs,Week 12/30 - 1/5,      Is bond paper or 135 gsm allowed instead of 100 gsm paper?, ,01-01-2019,ant_bot
,,,,,
jqbuy5qxi2453f,Week 12/30 - 1/5,      Question for Ant wall,"Sir, We read the rule-book and mention that   cube should cover with red or green or blue colour 
 
can we colour the ant wall by any specific colour it is not given in rulebook   ",12/31/18,ant_bot
,,,,,
